cell_id,centroid_lat,centroid_lon,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,vendor_density
71,-6.984249999999999,107.56124999999997,0.45237821360786795,0.9084210234167233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800634337580076,0.23160306730828778,0.3122929323445769,0.42279501184020335,19.5
72,-6.979749999999999,107.56124999999997,0.45237821360786795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8675305344689007,0.2155124813638964,0.22897557247579797,0.42279501184020335,23.5
73,-6.97525,107.56124999999997,0.45237821360786795,0.9856603770970065,0.0,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.8919484478390448,0.1441716853821601,0.5061062906517708,0.6738052990918816,24.0
74,-6.970749999999999,107.56124999999997,0.45237821360786795,0.9482171018233833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8261844470644685,0.0,0.6925449466398775,0.7592928886297349,20.9
75,-6.96625,107.56124999999997,0.45237821360786795,0.9532100572428784,0.0,0.0,0.2661925166888179,0.0,0.0,0.0,0.0,0.9080876053971475,0.03977775928608302,0.7109303247561282,0.42279501184020335,16.8
76,-6.961749999999998,107.56124999999997,0.45237821360786795,1.0,0.22319731517859304,0.0,0.4714918312586162,0.0,0.2242438242175754,0.20801459767650946,0.0,0.883452469885606,0.6394818427137452,0.6291775394496472,0.6932732641013545,13.5
77,-6.957249999999998,107.56124999999997,0.45237821360786795,0.9171881373924429,0.0,0.0,0.3358975579140839,0.0,0.0,0.0,0.0,0.8269286685028383,0.410143011495748,0.4946879980705784,0.42279501184020335,21.1
78,-6.952749999999997,107.56124999999997,0.45237821360786795,0.9369876210271011,0.33333333333333326,0.0,0.16794877895704194,0.15117821092177644,0.2242438242175754,0.0,0.0,0.8138468156809341,0.2558929330165952,0.4840313661922889,0.6048829123101417,24.6
79,-6.948249999999998,107.56124999999997,0.45237821360786795,0.9590109649320456,0.33333333333333326,0.33333333333333337,0.16794877895704194,0.0,0.2242438242175754,0.0,0.0,0.8176958140900042,0.0,0.3660647592159149,0.6048829123101417,26.0
80,-6.943749999999998,107.56124999999997,0.45237821360786795,0.9162560165698753,0.0,0.0,0.0,0.15117821092177644,0.0,0.0,0.0,0.8657679128245159,0.0,0.35001272333249195,0.4706903945498366,20.6
81,-6.939249999999999,107.56124999999997,0.45237821360786795,0.9583158605797136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894227818202156,0.0,0.5259976478997164,0.5772049881597967,20.2
82,-6.9347499999999975,107.56124999999997,0.45237821360786795,0.9342732080568338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8525396893109866,0.0,0.23038400784459132,0.18208790046993825,16.8
83,-6.930249999999997,107.56124999999997,0.45237821360786795,0.9362596101109831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649975278485814,0.0,0.2517023971171147,0.4706903945498366,18.7
84,-6.925749999999998,107.56124999999997,0.45237821360786795,1.0,0.30470029733952164,0.0,0.0,0.15117821092177644,0.6295320036582305,0.0,0.0,0.8231630619180853,0.07512966375947812,0.7992840477329053,0.728351601879753,26.5
85,-6.921249999999997,107.56124999999997,0.45237821360786795,0.9758234991566538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8603279688076821,0.41244107223861104,0.6475676028540605,0.728351601879753,21.9
86,-6.916749999999997,107.56124999999997,0.45237821360786795,0.9049837047067648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100254861909406,0.11171495329690546,0.8266608119961436,0.7592928886297349,25.1
87,-6.912249999999998,107.56124999999997,0.45237821360786795,0.9075545470402602,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.6033833222600913,0.3020068706034883,0.3257232844178623,0.4706903945498366,20.8
88,-6.9077499999999965,107.56124999999997,0.45237821360786795,1.0,0.0,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.6543956105712124,0.08598763289669045,0.44448339356683114,0.5111853636314163,19.8
89,-6.9032499999999954,107.56124999999997,0.45237821360786795,0.9774412562330786,0.31546487678572865,0.33333333333333337,0.0,0.0,0.35541805240316376,0.20801459767650946,0.0,0.6107457529073559,0.0,0.34840043209842925,0.4706903945498366,24.8
90,-6.898749999999996,107.56124999999997,0.6360211652383965,1.0,0.32007657262025374,0.0,0.0,0.15117821092177644,0.35541805240316376,0.0,0.3371945170584955,0.755279260077002,0.07127154852625867,0.12123553599213913,0.18208790046993825,29.5
