cell_id,centroid_lon,centroid_lat,kecamatan,density,pop_density_norm,_poi_raw_count,working_pop_density,func_mixture_degree,recreational_density_raw,recreational_density,catering_density_raw,catering_density,commercial_density_raw,commercial_density,public_service_density_raw,public_service_density,open_space_density_raw,open_space_density,business_office_density_raw,business_office_density,floor_area_raw,floor_area_proxy,trunk_road_density_raw,secondary_road_density_raw,trunk_road_density,secondary_road_density,intersection_count,intersection_density,vendor_density,suitability_score,zone_class,predicted_density,sensitivity_zone,sensitivity_label,hotspot_class
28,107.55224999999999,-6.871749999999995,Jawa Barat,122750.0,0.214700638408006,1.0,0.8752692918873533,0.13652123889719706,0.0,0.0,1.0,0.16794877895704194,1.0,0.15117821092177644,2.0,0.35541805240316376,8.0,0.6593906738397314,0.0,0.0,62.0,0.5249489896860402,910.8437953546845,3585.130093512597,0.35206276281924287,0.3709097286424058,4.0,0.42279501184020335,6.3,0.06756897,Not Suitable,5.6388736,1,Negative Sensitivity,Not Significant
29,107.55224999999999,-6.867249999999995,Jawa Barat,122750.0,0.214700638408006,1.0,0.9034099010220504,0.5,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,16.0,0.3589775811665862,766.4309881916809,3466.5361487257614,0.29624378251154754,0.3586402581539807,10.0,0.6299206402569856,20.4,0.379862,Moderately Suitable,19.762472,0,Positive Sensitivity,Not Significant
30,107.55224999999999,-6.862749999999996,Jawa Barat,122750.0,0.214700638408006,0.0,0.860085509667155,0.5,0.0,0.0,1.0,0.16794877895704194,1.0,0.15117821092177644,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.5613992678588378,539.5608721304648,3654.603482244717,0.20855309364811678,0.37809729369314904,13.0,0.6932732641013545,19.9,0.34123892,Not Suitable,18.015724,0,Positive Sensitivity,Not Significant
31,107.55224999999999,-6.858249999999995,Jawa Barat,122750.0,0.214700638408006,0.0,0.8747955120934924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,677.0,0.825997706668686,0.0,4490.23958696061,0.0,0.46455037984609643,10.0,0.6299206402569856,11.4,0.22178115,Not Suitable,12.613191,1,Negative Sensitivity,Not Significant
32,107.55224999999999,-6.853749999999995,Jawa Barat,122750.0,0.214700638408006,0.0,0.8668104773706254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.7715022963548963,0.0,1999.219060429044,0.0,0.20683483719106405,1.0,0.18208790046993825,11.8,0.18856612,Not Suitable,11.111026,1,Negative Sensitivity,Not Significant
33,107.55224999999999,-6.849249999999993,Jawa Barat,122750.0,0.214700638408006,0.0,0.9241201040557309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.6224497606886705,0.0,1376.55394537275,0.0,0.1424152644457017,1.0,0.18208790046993825,9.6,0.17383198,Not Suitable,10.444668,1,Negative Sensitivity,Cold Spot (90%)
34,107.55674999999998,-6.99775,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9001417491550758,0.0,0.0,0.0,0.0,0.0,1.0,0.15117821092177644,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.787411575534924,101.76424372724915,3460.8952589059845,0.03933429747838912,0.35805666401435904,0.0,0.0,21.1,0.4032699,Moderately Suitable,20.821102,1,Negative Sensitivity,Not Significant
35,107.55674999999998,-6.99325,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9746562785584056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,0.839794950876022,528.9777248530643,4261.060642019885,0.20446245583644496,0.44084002678740664,6.0,0.5111853636314163,20.7,0.4218554,Moderately Suitable,21.66164,1,Negative Sensitivity,Hot Spot (90%)
36,107.55674999999998,-6.988749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9105842948760596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.7288701416372184,508.6405650297583,2811.784597004621,0.19660166048184574,0.29090109275618004,1.0,0.18208790046993825,18.2,0.3757668,Moderately Suitable,19.577265,1,Negative Sensitivity,Not Significant
37,107.55674999999998,-6.984249999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8883717450140837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,0.8358803658874129,0.0,3568.6456795701197,0.0,0.36920428718205345,1.0,0.18208790046993825,16.9,0.35373726,Moderately Suitable,18.580967,1,Negative Sensitivity,Hot Spot (95%)
38,107.55674999999998,-6.979749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.975136570708495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,1344.0,0.9127897454822669,0.0,3481.1810840377125,0.0,0.3601553911731062,4.0,0.42279501184020335,18.1,0.37350693,Moderately Suitable,19.47506,1,Negative Sensitivity,Hot Spot (99%)
39,107.55674999999998,-6.97525,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9091085557732219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,1.0,0.21274605355336315,1181.0,0.8964214364501003,0.0,7104.011900217844,0.0,0.7349655542347655,29.0,0.89348540639004,27.6,0.47426486,Moderately Suitable,24.031883,0,Positive Sensitivity,Hot Spot (99%)
40,107.55674999999998,-6.970749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9111833570646334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20801459767650946,0.0,0.0,1238.0,0.9023887433660498,0.0,5697.4320228100305,0.0,0.5894438724449585,9.0,0.6048829123101417,24.7,0.36820254,Moderately Suitable,19.235165,0,Positive Sensitivity,Hot Spot (99%)
41,107.55674999999998,-6.96625,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8711414446236891,0.0,0.0,0.0,1.0,0.16794877895704194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,0.9056196010791793,320.9645711080867,5008.765040634076,0.12406043083095716,0.5181958906921954,3.0,0.3641758009398765,17.3,0.35733256,Moderately Suitable,18.743567,1,Negative Sensitivity,Hot Spot (95%)
42,107.55674999999998,-6.961749999999998,Jawa Barat,205400.0,0.45237821360786795,1.0,0.8774676522872832,0.20806222240005767,0.0,0.0,4.0,0.3899649883623831,1.0,0.15117821092177644,1.0,0.2242438242175754,1.0,0.20801459767650946,0.0,0.0,1313.0,0.9098352653203597,1399.3437753164153,6588.458441364332,0.5408796087587833,0.6816275194811494,14.0,0.7113975059201018,10.1,0.1781983,Not Suitable,10.642136,1,Negative Sensitivity,Hot Spot (90%)
43,107.55674999999998,-6.957249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9520608295915169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20801459767650946,0.0,0.0,1048.0,0.881296784578728,0.0,2618.3578093975843,0.0,0.27088957980346434,2.0,0.28860249407989835,19.8,0.20560537,Not Suitable,11.881634,1,Negative Sensitivity,Hot Spot (90%)
44,107.55674999999998,-6.952749999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8800781368422113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,0.8656313054413604,0.0,4131.618449180613,0.0,0.42744822025079865,3.0,0.3641758009398765,22.9,0.35822234,Moderately Suitable,18.783808,1,Negative Sensitivity,Hot Spot (95%)
45,107.55674999999998,-6.948249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9578197115321094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,701.0,0.8304052236093781,0.0,3064.9865007431567,0.0,0.31709680865986317,1.0,0.18208790046993825,20.7,0.3723147,Moderately Suitable,19.42114,1,Negative Sensitivity,Hot Spot (95%)
46,107.55674999999998,-6.943749999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.7819750520344102,0.0,3744.5848296651197,0.0,0.3874065673552046,4.0,0.42279501184020335,19.3,0.38523442,Moderately Suitable,20.005442,1,Negative Sensitivity,Hot Spot (90%)
47,107.55674999999998,-6.939249999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9220968740997503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.7264334639327684,0.0,2665.9584627030176,0.0,0.2758142394225581,2.0,0.28860249407989835,17.5,0.36620533,Moderately Suitable,19.14484,1,Negative Sensitivity,Hot Spot (90%)
48,107.55674999999998,-6.9347499999999975,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8816241878117708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,0.8671259465713061,0.0,6255.789686602784,0.0,0.6472103367463607,5.0,0.4706903945498366,18.6,0.37834492,Moderately Suitable,19.69386,1,Negative Sensitivity,Not Significant
49,107.55674999999998,-6.930249999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9424567588941624,0.0,0.0,0.0,0.0,0.0,1.0,0.15117821092177644,0.0,0.0,0.0,0.0,0.0,0.0,610.0,0.8128141829431,0.0,3955.2764844677117,0.0,0.40920426575712854,7.0,0.5462637014098147,21.1,0.42198747,Moderately Suitable,21.667614,1,Negative Sensitivity,Not Significant
50,107.55674999999998,-6.925749999999998,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9918646627258867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242438242175754,0.0,0.0,0.0,0.0,293.0,0.720128514686999,0.0,4419.13797012544,0.0,0.45719436187227436,9.0,0.6048829123101417,20.0,0.399859,Moderately Suitable,20.666845,1,Negative Sensitivity,Hot Spot (90%)
